frequency,frequency_cm,dos,dos_weighted,dos_convoluted,dos_weighted_convoluted,2w_dos_weighted
-45.2029766286,-1507.8089999382173,0.0,0.0,0.0,0.0,0.0
-45.1463312945,-1505.919514976591,0.0,0.0,0.0,0.0,5.349795311901768e-21
-45.089685960400004,-1504.030030014965,0.0,0.0,0.0,0.0,2.1373792664032924e-33
-45.0330406263,-1502.1405450533384,0.0,0.0,0.0,0.0,-2.034114179281957e-20
-44.976395292199996,-1500.251060091712,0.0,0.0,0.0,0.0,8.123749857609236e-33
-44.919749958,-1498.36157512675,0.0,0.0,0.0,0.0,7.734202600407197e-20
-44.8631046239,-1496.4720901651237,0.0,0.0,0.0,0.0,-4.347748488100315e-28
-44.8064592898,-1494.5826052034975,0.0,0.0,0.0,0.0,-2.9407481762783336e-19
-44.7498139557,-1492.693120241871,0.0,0.0,0.0,0.0,1.6531329031584234e-27
-44.693168621599995,-1490.8036352802444,0.0,0.0,0.0,0.0,1.1181555508163697e-18
-44.636523287399996,-1488.9141503152825,0.0,0.0,0.0,0.0,-4.469389810232803e-31
-44.5798779533,-1487.0246653536562,0.0,0.0,0.0,0.0,-4.2515640447964915e-18
-44.5232326192,-1485.13518039203,0.0,0.0,0.0,0.0,0.0
-44.4665872851,-1483.2456954304034,0.0,0.0,0.0,0.0,1.616580603656718e-17
-44.4099419509,-1481.3562104654416,0.0,0.0,0.0,0.0,-9.087626744632106e-26
-44.353296616799994,-1479.466725503815,0.0,0.0,0.0,0.0,-6.146786921514305e-17
-44.2966512827,-1477.5772405421887,0.0,0.0,0.0,0.0,3.4554315709458907e-25
-44.2400059486,-1475.6877555805625,0.0,0.0,0.0,0.0,2.337228266741367e-16
-44.1833606145,-1473.7982706189362,0.0,0.0,0.0,0.0,-1.3137888969800498e-24
-44.126715280300004,-1471.9087856539743,0.0,0.0,0.0,0.0,-8.887022930640904e-16
-44.0700699462,-1470.0193006923478,0.0,0.0,0.0,0.0,0.0
-44.013424612099996,-1468.1298157307212,0.0,0.0,0.0,0.0,3.3791983797078774e-15
-43.956779278,-1466.2403307690952,0.0,0.0,0.0,0.0,-1.515603366382486e-30
-43.9001339439,-1464.3508458074689,0.0,0.0,0.0,0.0,-1.2849118010797972e-14
