,x0,Gamma,y0,zeta,temperature
2,531.7029012806424,13.408864236852647,13505.513369755705,4.866958467332573e-19,400.0
2,532.2534247871001,12.182940108426388,14497.57967458556,6.111612405283562e-19,380.0
2,532.5241399629065,11.512328316805771,15256.522496163818,2.4100175020230047e-19,360.0
2,532.791297445803,10.607578936736445,15105.555712710891,7.315406219292926e-19,340.0
2,533.0804440175631,9.886402469878574,15527.358403918382,1.6327219367090307e-20,320.0
2,533.3523657843473,9.058580161674922,15733.481835726783,8.460951929552956e-19,300.0
2,533.6392673306273,8.323023291143206,15729.033070992522,2.7925637700346253e-19,280.0
1,533.7583690762378,6.341248773122042,13776.840460778227,1.579242504562827e-19,200.0
2,533.8483024751737,7.857600730413283,15522.473987637657,4.1295891194762235e-21,260.0
1,533.916759379226,5.934408480314578,13540.940368944568,1.8204442239403516e-18,180.0
1,533.9853613837415,5.647736279211348,13490.783106632221,4.0641138404166335e-19,160.0
1,534.0649253359381,5.263225361096639,13210.313317662423,1.1869250997310369e-20,140.0
2,534.0727101147994,7.2734053042293905,14881.346307642689,1.3660311396359782e-19,240.0
0,534.0791541285266,4.323334997045166,53047.56445517065,9.086966319872437e-19,80.0
1,534.1110319933499,6.832033571991241,14052.746494214241,3.9198981514191403e-19,220.0
1,534.1154820629724,5.037919994892658,13115.232764816865,7.409956596407772e-16,120.0
1,534.1652585248042,4.836086427692232,13104.931097116028,5.275914066120334e-19,100.0
0,559.7283389514697,6.128969826652968,9364.180317230172,5.755939983776038e-16,400.0
0,560.1497726651824,5.8025474109266435,10151.832060526385,1.0268009724648526e-19,380.0
0,560.3256169374166,5.4276871075851325,10572.652074297357,1.9490341603492107e-18,360.0
0,560.5416221346256,5.076895147996715,10633.698443369534,2.2617285668102922e-17,340.0
0,560.7088838214638,4.747458666715222,11198.45102233974,4.672518558972771e-22,320.0
1,560.8117338373908,3.071260810869353,2766.5086627514165,4.622038550093468e-18,80.0
0,560.8606806988508,3.206826802418663,12465.903113630797,3.0500822493452703e-18,200.0
0,560.8791429196042,4.3932368260824175,12108.615100262972,9.906194888196412e-20,300.0
0,560.9242089251447,3.0674283817595036,12253.493240545988,5.6845125159240465e-18,180.0
0,560.9468372719,2.917397441253695,12152.57288192977,1.5132623095391656e-16,160.0
0,560.9502871614876,2.7928851992215926,12048.99075588006,2.6824423672029594e-15,140.0
0,560.9535231481882,2.663934798284196,11887.029916883193,1.1298662649956978e-15,120.0
0,560.9687140849243,2.5744578380220093,11798.598887984805,1.009325734509148e-16,100.0
0,561.0571168380129,4.077994770549787,13438.428045473327,2.3269546425244626e-20,280.0
0,561.1977123571024,3.768995877810714,13484.543895900384,2.8977823086252323e-16,260.0
0,561.3097573239315,3.4144008962517036,12538.054523306988,1.0347952150360086e-15,220.0
0,561.3388213982619,3.598336059514533,13246.519377318875,2.4862451385615735e-15,240.0
1,568.4651065501467,2.648038690508336,4087.749511758755,2.7511809289212813e-15,400.0
1,568.932348952691,2.4314282571215022,4281.268512396617,3.028119559497368e-16,380.0
1,569.1476382641011,2.3315975765128694,4631.034867809349,1.655490075545792e-21,360.0
1,569.351725057879,2.2252715026937486,4752.37452723062,6.956883931709759e-21,340.0
1,569.5607282287446,2.123040839536435,5005.5122495812,1.0078665557883026e-19,320.0
2,569.7378976519892,1.7676432517722935,5125.293169343413,0.08818869576435175,200.0
2,569.7425922501551,2.0002511326796943,1269.665717368515,3.3690627678881553e-18,80.0
1,569.7461673223503,2.020312884253713,5257.331080601762,0.004823604043694102,300.0
2,569.8013718579653,1.7015861227370883,5174.590399080642,0.061283256226532905,180.0
2,569.8360646011928,1.6100464812680395,5207.594920568901,0.04989434288366186,140.0
2,569.836727537902,1.6690365952430575,5154.368468273487,0.07229228177302356,160.0
2,569.8446197514725,1.5853724967843354,5204.717700650617,0.0674948189209386,120.0
2,569.8632800653658,1.5600485156537585,5232.381995070692,0.059009923889352466,100.0
1,569.9231119896887,1.9672645752497533,5362.560523166085,0.03324870626845905,280.0
1,570.0528634327227,1.8534760901382545,5347.369105762404,0.0020900126218494435,260.0
2,570.1666094038629,1.791281850707504,5080.515711512126,0.05334263991825654,220.0
1,570.1905014917309,1.8516495994203068,5297.506731069496,0.046362779281662804,240.0
